company,period,type,item, amount , previous 
Colorado Ballet,2019-07,asset,inventories," $42,952 "," $30,762 "
Colorado Ballet,2019-07,asset,prepaid expenses," $106,684 "," $59,890 "
Colorado Ballet,2019-07,asset,buildings/equipment," $5,790,562 "," $5,847,543 "
Colorado Ballet,2019-07,asset,other securities," $262,915 "," $337,225 "
Colorado Ballet,2019-07,asset,other," $416,917 "," $415,826 "
Colorado Ballet,2019-07,liability,accounts payable," $393,113 "," $395,618 "
Colorado Ballet,2019-07,liability,deferred revenue," $800,457 "," $579,675 "
Colorado Ballet,2019-07,liability,secured mortgages," $514,370 "," $573,177 "
Colorado Ballet,2019-07,liability,unsecured notes," $949,900 ", $-   
Tulsa Ballet,2018-07,asset,cash," $12,194 "," $105,640 "
Tulsa Ballet,2018-07,asset,savings," $33,420 "," $24,050 "
Tulsa Ballet,2018-07,asset,pledges," $3,400,334 "," $4,091,031 "
Tulsa Ballet,2018-07,asset,accounts receivable, $-   , $-   
Tulsa Ballet,2018-07,asset,inventories," $22,711 "," $12,699 "
Tulsa Ballet,2018-07,asset,prepaid expenses," $179,184 "," $186,064 "
Tulsa Ballet,2018-07,asset,buildings/equipment," $16,528,125 "," $16,875,981 "
Tulsa Ballet,2018-07,asset,public securities," $1,061,227 "," $1,121,464 "
Tulsa Ballet,2018-07,asset,other," $1,243,189 "," $1,284,251 "
Tulsa Ballet,2018-07,liability,accounts payable," $358,014 "," $252,739 "
Tulsa Ballet,2018-07,liability,deferred revenue," $506,788 "," $490,888 "
Tulsa Ballet,2018-07,liability,secured mortgages," $1,279,162 "," $1,364,230 "
Oregon Ballet Theatre,2019-07,asset,cash," $426,589 "," $203,813 "
Oregon Ballet Theatre,2019-07,asset,savings, $-   , $-   
Oregon Ballet Theatre,2019-07,asset,pledges," $794,685 "," $755,948 "
Oregon Ballet Theatre,2019-07,asset,accounts receivable," $127,739 "," $48,681 "
Oregon Ballet Theatre,2019-07,asset,inventories," $70,060 "," $69,265 "
Oregon Ballet Theatre,2019-07,asset,prepaid expenses," $190,204 "," $348,395 "
Oregon Ballet Theatre,2019-07,asset,buildings/equipment," $327,843 "," $462,421 "
Oregon Ballet Theatre,2019-07,asset,other," $4,148,970 "," $4,036,698 "
Oregon Ballet Theatre,2019-07,liability,accounts payable," $126,156 "," $336,749 "
Oregon Ballet Theatre,2019-07,liability,deferred revenue," $772,012 "," $1,028,970 "
Oregon Ballet Theatre,2019-07,liability,unsecured notes," $125,491 ",
Oregon Ballet Theatre,2019-07,liability,other," $58,640 "," $335,096 "
Sarasota Ballet,2019-06,asset,cash," $754,585 "," $21,237 "
Sarasota Ballet,2019-06,asset,savings," $1,222,794 "," $945,374 "
Sarasota Ballet,2019-06,asset,pledges," $304,665 "," $71,225 "
Sarasota Ballet,2019-06,asset,accounts receivable," $10,810 "," $12,828 "
Sarasota Ballet,2019-06,asset,prepaid expenses," $406,311 "," $356,381 "
Sarasota Ballet,2019-06,asset,buildings/equipment," $1,414,525 "," $1,425,601 "
Sarasota Ballet,2019-06,asset,other securities," $3,049,634 "," $2,868,191 "
Sarasota Ballet,2019-06,asset,other," $13,247 "," $11,842 "
Sarasota Ballet,2019-06,liability,accounts payable," $133,253 "," $147,999 "
Sarasota Ballet,2019-06,liability,deferred revenue," $393,918 "," $747,167 "
Sarasota Ballet,2019-06,liability,secured mortgages," $1,171,300 ",
Sarasota Ballet,2019-06,liability,other," $93,902 "," $56,250 "
Ballet Met,2019-07,asset,cash," $204,722 "," $232,088 "
Ballet Met,2019-07,asset,savings," $3,160,284 "," $3,350,525 "
Ballet Met,2019-07,asset,pledges," $847,816 "," $1,181,238 "
Ballet Met,2019-07,asset,accounts receivable," $63,799 "," $60,477 "
Ballet Met,2019-07,asset,prepaid expenses," $44,200 "," $156,132 "
Ballet Met,2019-07,asset,buildings/equipment," $4,554,690 "," $4,805,637 "
Ballet Met,2019-07,asset,other," $699,667 "," $669,656 "
Ballet Met,2019-07,liability,accounts payable," $180,281 "," $233,246 "
Ballet Met,2019-07,liability,deferred revenue," $278,958 "," $801,135 "
Ballet Met,2019-07,liability,bond liabilities," $178,175 "," $553,000 "
Martha Graham,2019-07,asset,cash," $580,677 "," $503,042 "
Martha Graham,2019-07,asset,savings, $-   , $-   
Martha Graham,2019-07,asset,pledges," $1,067,999 "," $989,101 "
Martha Graham,2019-07,asset,accounts receivable," $40,803 "," $130,463 "
Martha Graham,2019-07,asset,prepaid expenses," $10,748 "," $1,932 "
Martha Graham,2019-07,asset,buildings/equipment, $-   , $-   
Martha Graham,2019-07,asset,other," $454,644 "," $916,426 "
Martha Graham,2019-07,liability,accounts payable," $49,031 "," $48,365 "
Martha Graham,2019-07,liability,other," $939,902 "," $1,418,264 "
PA Ballet,2018-08,asset,cash, $-   , $-   
PA Ballet,2018-08,asset,savings," $466,631 "," $1,575,333 "
PA Ballet,2018-08,asset,pledges," $7,107,710 "," $5,242,414 "
PA Ballet,2018-08,asset,accounts receivable," $69,229 "," $32,929 "
PA Ballet,2018-08,asset,prepaid expenses," $626,718 "," $868,286 "
PA Ballet,2018-08,asset,buildings/equipment," $14,028,295 "," $12,665,981 "
PA Ballet,2018-08,asset,public securities," $2,664,092 "," $2,686,313 "
PA Ballet,2018-08,asset,other," $86,113 "," $82,759 "
PA Ballet,2018-08,liability,accounts payable," $811,945 "," $880,006 "
PA Ballet,2018-08,liability,deferred revenue," $1,272,662 "," $1,358,877 "
PA Ballet,2018-08,liability,secured mortgages," $5,863,078 "," $4,159,376 "
Atlanta Ballet,2018-07,asset,cash," $354,636 "," $1,711,364 "
Atlanta Ballet,2018-07,asset,savings," $416,153 "," $210,233 "
Atlanta Ballet,2018-07,asset,pledges," $3,686,737 "," $5,265,031 "
Atlanta Ballet,2018-07,asset,accounts receivable," $20,593 "," $48,625 "
Atlanta Ballet,2018-07,asset,inventories," $357,613 "," $212,070 "
Atlanta Ballet,2018-07,asset,prepaid expenses," $296,147 "," $519,604 "
Atlanta Ballet,2018-07,asset,buildings/equipment," $13,665,485 "," $9,791,622 "
Atlanta Ballet,2018-07,asset,public securities," $1,259,384 "," $1,325,278 "
Atlanta Ballet,2018-07,asset,intangible assets," $212,989 "," $321,724 "
Atlanta Ballet,2018-07,asset,other," $172,990 "," $2,523,893 "
Atlanta Ballet,2018-07,liability,accounts payable," $757,489 "," $1,137,347 "
Atlanta Ballet,2018-07,liability,deferred revenue," $1,007,238 "," $1,137,796 "
Atlanta Ballet,2018-07,liability,unsecured notes," $5,810,037 "," $3,819,664 "
Cincinnati Ballet,2018-08,asset,cash," $925,980 "," $907,010 "
Cincinnati Ballet,2018-08,asset,savings, $-   , $-   
Cincinnati Ballet,2018-08,asset,pledges," $16,111,704 "," $1,826,546 "
Cincinnati Ballet,2018-08,asset,accounts receivable, $-   , $-   
Cincinnati Ballet,2018-08,asset,prepaid expenses," $447,699 "," $371,262 "
Cincinnati Ballet,2018-08,asset,buildings/equipment," $948,191 "," $905,727 "
Cincinnati Ballet,2018-08,asset,public securities," $1,673,837 "," $1,663,621 "
Cincinnati Ballet,2018-08,asset,other," $229,655 "," $240,427 "
Cincinnati Ballet,2018-08,liability,accounts payable," $810,420 "," $551,104 "
Cincinnati Ballet,2018-08,liability,deferred revenue," $1,047,706 "," $804,646 "
Cincinnati Ballet,2018-08,liability,other, $-   ," $44,000 "
Milwaukee Ballet,2018-08,asset,cash," $543,126 "," $886,449 "
Milwaukee Ballet,2018-08,asset,savings," $986,529 "," $332,207 "
Milwaukee Ballet,2018-08,asset,pledges," $5,166,126 "," $5,248,974 "
Milwaukee Ballet,2018-08,asset,accounts receivable," $28,055 "," $27,449 "
Milwaukee Ballet,2018-08,asset,inventories," $71,118 "," $71,058 "
Milwaukee Ballet,2018-08,asset,prepaid expenses," $178,012 "," $195,388 "
Milwaukee Ballet,2018-08,asset,buildings/equipment," $18,100,869 "," $5,802,413 "
Milwaukee Ballet,2018-08,asset,other," $588,056 "," $589,349 "
Milwaukee Ballet,2018-08,liability,accounts payable," $1,785,397 "," $1,980,605 "
Milwaukee Ballet,2018-08,liability,deferred revenue," $553,961 "," $589,237 "
Milwaukee Ballet,2018-08,liability,secured mortgages," $9,578 "," $5,658 "
Milwaukee Ballet,2018-08,liability,other," $5,794,346 ", $-   
