company,period,type,item, amount 
Kansas City Ballet,2019-07,programs,ticket sales," $3,317,107 "
Kansas City Ballet,2019-07,programs,tuition," $1,327,176 "
Kansas City Ballet,2019-07,other,investment," $233,119 "
Kansas City Ballet,2019-07,other,rentals," $19,350 "
Kansas City Ballet,2019-07,other,asset sales," $360,836 "
Kansas City Ballet,2019-07,other,fundraising events," $(36,380)"
Kansas City Ballet,2019-07,misc,other," $211,147 "
Kansas City Ballet,2019-07,misc,LLC income," $(74,310)"
Colorado Ballet,2019-07,contributions,fundraising events," $344,513 "
Colorado Ballet,2019-07,contributions,government grants," $1,055,877 "
Colorado Ballet,2019-07,contributions,other contributions," $1,927,106 "
Colorado Ballet,2019-07,programs,ticket sales," $4,600,219 "
Colorado Ballet,2019-07,programs,tuition," $1,735,233 "
Colorado Ballet,2019-07,programs,other, $270 
Colorado Ballet,2019-07,other,investment," $40,664 "
Colorado Ballet,2019-07,other,rentals," $56,306 "
Colorado Ballet,2019-07,other,asset sales," $(7,205)"
Colorado Ballet,2019-07,other,fundraising events," $7,787 "
Colorado Ballet,2019-07,other,inventory sales," $121,756 "
Colorado Ballet,2019-07,other,investment loss," $(74,310)"
Tulsa Ballet,2018-07,contributions,membership dues," $579,995 "
Tulsa Ballet,2018-07,contributions,fundraising events," $1,300,907 "
Tulsa Ballet,2018-07,contributions,government grants," $76,413 "
Tulsa Ballet,2018-07,contributions,other contributions," $2,498,972 "
Tulsa Ballet,2018-07,programs,ticket sales," $1,380,752 "
Tulsa Ballet,2018-07,programs,tuition," $595,333 "
Tulsa Ballet,2018-07,programs,touring income," $156,411 "
Tulsa Ballet,2018-07,programs,rentals," $33,213 "
Tulsa Ballet,2018-07,other,investment," $22,178 "
Tulsa Ballet,2018-07,other,rentals," $272,047 "
Tulsa Ballet,2018-07,other,asset sales," $171,380 "
Tulsa Ballet,2018-07,other,fundraising events," $(188,139)"
Tulsa Ballet,2018-07,other,inventory sales," $39,659 "
Tulsa Ballet,2018-07,misc,ticket handling," $44,101 "
Tulsa Ballet,2018-07,misc,change-beneficial int," $17,761 "
Tulsa Ballet,2018-07,misc,other," $12,167 "
Oregon Ballet Theatre,2019-07,contributions,government grants," $892,639 "
Oregon Ballet Theatre,2019-07,contributions,other contributions," $2,027,313 "
Oregon Ballet Theatre,2019-07,programs,outreach," $31,548 "
Oregon Ballet Theatre,2019-07,programs,tuition," $1,408,366 "
Oregon Ballet Theatre,2019-07,programs,ticket sales," $3,182,302 "
Oregon Ballet Theatre,2019-07,other,investment," $119,691 "
Oregon Ballet Theatre,2019-07,other,rentals," $15,145 "
Oregon Ballet Theatre,2019-07,other,asset sales," $(16,204)"
Oregon Ballet Theatre,2019-07,other,fundraising events," $347,502 "
Oregon Ballet Theatre,2019-07,other,inventory sales," $161,066 "
Oregon Ballet Theatre,2019-07,misc,other," $4,928 "
Sarasota Ballet,2019-06,contributions,membership dues," $50,329 "
Sarasota Ballet,2019-06,contributions,fundraising events," $524,610 "
Sarasota Ballet,2019-06,contributions,government grants," $130,932 "
Sarasota Ballet,2019-06,contributions,other contributions," $4,332,437 "
Sarasota Ballet,2019-06,programs,ticket sales," $1,339,446 "
Sarasota Ballet,2019-06,programs,tuition," $673,786 "
Sarasota Ballet,2019-06,programs,program book," $108,077 "
Sarasota Ballet,2019-06,other,investment," $86,026 "
Sarasota Ballet,2019-06,other,rentals," $43,483 "
Sarasota Ballet,2019-06,other,asset sales, $14 
Sarasota Ballet,2019-06,other,fundraising events," $(90,380)"
Sarasota Ballet,2019-06,misc,other," $1,701 "
Ballet Met,2019-07,contributions,fundraising events," $201,573 "
Ballet Met,2019-07,contributions,government grants," $522,468 "
Ballet Met,2019-07,contributions,other contributions," $1,906,803 "
Ballet Met,2019-07,programs,ticket sales," $1,937,827 "
Ballet Met,2019-07,programs,tuition," $1,741,249 "
Ballet Met,2019-07,programs,touring/rentals," $138,813 "
Ballet Met,2019-07,other,investment," $56,353 "
Ballet Met,2019-07,other,asset sales," $(6,963)"
Ballet Met,2019-07,other,fundraising events," $(53,877)"
Ballet Met,2019-07,other,inventory sales," $48,586 "
Ballet Met,2019-07,misc,audition fees," $26,329 "
Martha Graham,2019-07,contributions,government grants," $1,017,290 "
Martha Graham,2019-07,contributions,other contributions," $878,497 "
Martha Graham,2019-07,programs,ticket sales," $983,874 "
Martha Graham,2019-07,programs,admissions," $18,172 "
Martha Graham,2019-07,programs,tuition," $11,603 "
Martha Graham,2019-07,programs,other," $252,670 "
Martha Graham,2019-07,other,rentals," $33,886 "
PA Ballet,2018-08,contributions,fundraising events," $499,192 "
PA Ballet,2018-08,contributions,government grants," $128,685 "
PA Ballet,2018-08,contributions,other contributions," $8,595,355 "
PA Ballet,2018-08,programs,ticket sales," $2,701,066 "
PA Ballet,2018-08,programs,ticket sales," $2,036,453 "
PA Ballet,2018-08,programs,tuition," $1,759,287 "
PA Ballet,2018-08,other,investment," $55,142 "
PA Ballet,2018-08,other,rentals," $35,508 "
PA Ballet,2018-08,other,asset sales," $73,752 "
PA Ballet,2018-08,other,fundraising events, $-   
PA Ballet,2018-08,misc,other," $41,673 "
PA Ballet,2018-08,misc,gift shop," $33,128 "
Atlanta Ballet,2018-07,contributions,fundraising events," $124,944 "
Atlanta Ballet,2018-07,contributions,government grants," $5,750 "
Atlanta Ballet,2018-07,contributions,other contributions," $2,595,607 "
Atlanta Ballet,2018-07,programs,ticket sales," $4,542,146 "
Atlanta Ballet,2018-07,programs,tuition," $2,287,912 "
Atlanta Ballet,2018-07,programs,scholarships," $140,664 "
Atlanta Ballet,2018-07,programs,ticket handling," $79,625 "
Atlanta Ballet,2018-07,other,investment," $46,187 "
Atlanta Ballet,2018-07,other,rentals," $45,525 "
Atlanta Ballet,2018-07,other,asset sales," $146,033 "
Atlanta Ballet,2018-07,other,fundraising events," $231,537 "
Atlanta Ballet,2018-07,other,inventory sales," $260,827 "
Cincinnati Ballet,2018-08,contributions,federated campaigns," $885,000 "
Cincinnati Ballet,2018-08,contributions,fundraising events," $2,000 "
Cincinnati Ballet,2018-08,contributions,related organizations," $591,706 "
Cincinnati Ballet,2018-08,contributions,other contributions," $17,541,359 "
Cincinnati Ballet,2018-08,programs,subscriptions," $3,215,078 "
Cincinnati Ballet,2018-08,programs,tuition," $1,677,711 "
Cincinnati Ballet,2018-08,programs,touring income," $117,886 "
Cincinnati Ballet,2018-08,other,investment," $42,395 "
Cincinnati Ballet,2018-08,other,asset sales," $(1,816)"
Cincinnati Ballet,2018-08,other,fundraising events," $296,369 "
Cincinnati Ballet,2018-08,other,inventory sales," $5,137 "
Cincinnati Ballet,2018-08,misc,other," $160,666 "
Milwaukee Ballet,2018-08,contributions,federated campaigns," $1,017,612 "
Milwaukee Ballet,2018-08,contributions,fundraising events," $500,770 "
Milwaukee Ballet,2018-08,contributions,government grants," $84,520 "
Milwaukee Ballet,2018-08,contributions,other contributions," $8,519,373 "
Milwaukee Ballet,2018-08,programs,ticket sales," $1,969,408 "
Milwaukee Ballet,2018-08,programs,tuition," $1,840,471 "
Milwaukee Ballet,2018-08,programs,rentals," $33,903 "
Milwaukee Ballet,2018-08,programs,outreach," $33,059 "
Milwaukee Ballet,2018-08,other,investment," $4,862 "
Milwaukee Ballet,2018-08,other,fundraising events," $(1,447)"
Milwaukee Ballet,2018-08,other,inventory sales," $35,969 "
