Data Items on Form 990 Annual Masterfile Extract,,,
"Total record count (Processing Year 2020):  273,971",,,
Element Name,Description,Location,
rntlexpnsprsnl,Rental expense -- Personal property,990 Core_Pt VIII-6b(ii),
rntlincreal,Net rent -- Real estate,990 Core_Pt VIII-6c(i),
rntlincprsnl,Net rent -- Personal property,990 Core_Pt VIII-6c(ii),
netrntlinc,Net rental income,990 Core_Pt VIII-6d(A),
grsalesecur,Gross sales -- Securities,990 Core_Pt VIII-7a(i),
grsalesothr,Gross sales -- Other assets,990 Core_Pt VIII-7a(ii),
cstbasisecur,Sales expense -- Securities,990 Core_Pt VIII-7b(i),
cstbasisothr,Sales expense -- Other assets,990 Core_Pt VIII-7b(ii),
gnlsecur,Net gain from sales -- Securities,990 Core_Pt VIII-7c(i),
gnlsothr,Net gain from sales -- Other assets,990 Core_Pt VIII-7c(ii),
netgnls,Sales of assets,990 Core_Pt VIII-7d(A),
grsincfndrsng,Gross fundraising,990 Core_Pt VIII-8a,
lessdirfndrsng,Fundraising expenses,990 Core_Pt VIII-8b,
netincfndrsng,Fundraising income,990 Core_Pt VIII-8c(A),
grsincgaming,Gross income from gaming,990 Core_Pt VIII-9a,
lessdirgaming,Gaming expenses,990 Core_Pt VIII-9b,
netincgaming,Gaming income,990 Core_Pt VIII-9c(A),
nonintcashend,Cash -- non-interest bearing -- eoy,990 Core_Pt X-1(B),
lndbldgsequipend,"Land, buildings, & equipment (net) -- eoy",990 Core_Pt X-10(B),
invstmntsend,Investments in publicly traded securities -- eoy,990 Core_Pt X-11(B),
invstmntsothrend,Investments in other securities -- eoy,990 Core_Pt X-12(B),
invstmntsprgmend,Program-related investments -- eoy,990 Core_Pt X-13(B),
intangibleassetsend,Intangible assets -- eoy,990 Core_Pt X-14(B),
othrassetsend,Other assets -- eoy,990 Core_Pt X-15(B),
totassetsend,Total assets -- eoy,990 Core_Pt X-16(B),
accntspayableend,Accounts payable and accrued expenses -- eoy,990 Core_Pt X-17(B),
grntspayableend,Grants payable -- eoy,990 Core_Pt X-18(B),
deferedrevnuend,Deferred revenue -- eoy,990 Core_Pt X-19(B),
svngstempinvend,Savings and temporary cash investments -- eoy,990 Core_Pt X-2(B),
txexmptbndsend,Tax-exempt bond liabilities -- eoy,990 Core_Pt X-20(B),
escrwaccntliabend,Escrow account liability -- eoy,990 Core_Pt X-21(B),
paybletoffcrsend,"Payables to officers, directors, etc. -- eoy",990 Core_Pt X-22(B),
secrdmrtgsend,Secured mortgages and notes payable -- eoy,990 Core_Pt X-23(B),
unsecurednotesend,Unsecured mortgages and notes payable -- eoy,990 Core_Pt X-24(B),
othrliabend,Other liabilities -- eoy,990 Core_Pt X-25(B),
totliabend,Total liabilities -- eoy,990 Core_Pt X-26(B),
unrstrctnetasstsend,Unrestricted net assets -- eoy,990 Core_Pt X-27(B),
temprstrctnetasstsend,Temporarily restricted net assets -- eoy,990 Core_Pt X-28(B),
permrstrctnetasstsend,Permanently restricted net assets -- eoy,990 Core_Pt X-29(B),
pldgegrntrcvblend,Pledges and grants receivable -- eoy,990 Core_Pt X-3(B),
capitalstktrstend,Capital stock or trust principal -- eoy,990 Core_Pt X-30(B),
paidinsurplusend,Paid-in or capital surplus -- eoy,990 Core_Pt X-31(B),
retainedearnend,Retained earnings -- eoy,990 Core_Pt X-32(B),
totnetassetend,Total Net Assets -- eoy,990 Core_Pt X-33(B),
totnetliabastend,Total Liabilities + Net Assets -- eoy,990 Core_Pt X-34(B),
accntsrcvblend,Accounts receivable -- eoy,990 Core_Pt X-4(B),
currfrmrcvblend,"Receivables from officers, directors, etc. -- eoy",990 Core_Pt X-5(B),
rcvbldisqualend,Receivables from disqualified persons -- eoy,990 Core_Pt X-6(B),
notesloansrcvblend,Notes and loans receivables -- eoy,990 Core_Pt X-7(B),
invntriesalesend,Inventories for sale or use -- eoy,990 Core_Pt X-8(B),
prepaidexpnsend,Prepaid expenses or deferred charges -- eoy,990 Core_Pt X-9(B),
nonpfrea,Reason for non-PF status,990 Sch A_Pt I-1-11,
totnooforgscnt,Number of organizations supported,990 Sch A_Pt I-11h,
totsupport,Sum of amounts of support,990 Sch A_Pt I-11h(vii),
gftgrntsrcvd170,Gifts grants membership fees received (170),990 Sch A_Pt II-1(f),
othrinc170,Other income (170),990 Sch A_Pt II-10(f),
totsupp170,Total support (170),990 Sch A_Pt II-11(f),
grsrcptsrelated170,Gross receipts from related activities (170),990 Sch A_Pt II-12,
txrevnuelevied170,Tax revenues levied (170),990 Sch A_Pt II-2(f),
srvcsval170,Services or facilities furnished by gov (170),990 Sch A_Pt II-3(f),
pubsuppsubtot170,Public support subtotal (170),990 Sch A_Pt II-4(f),
exceeds2pct170,Amount support exceeds total (170),990 Sch A_Pt II-5(f),
pubsupplesspct170,Public support (170),990 Sch A_Pt II-6(f),
samepubsuppsubtot170,Public support from line 4 (170),990 Sch A_Pt II-7(f),
grsinc170,Gross income from interest etc (170),990 Sch A_Pt II-8(f),
netincunreltd170,Net UBI (170),990 Sch A_Pt II-9(f),
totgftgrntrcvd509,Gifts grants membership fees received (509),990 Sch A_Pt III-1(f),
grsinc509,Gross income from interest etc (509),990 Sch A_Pt III-10a(f),
unreltxincls511tx509,Net UBI (509),990 Sch A_Pt III-10b(f),
subtotsuppinc509,Subtotal total support (509),990 Sch A_Pt III-10c(f),
netincunrelatd509,Net income from UBI not in 10b (509),990 Sch A_Pt III-11(f),
othrinc509,Other income (509),990 Sch A_Pt III-12(f),
totsupp509,Total support (509),990 Sch A_Pt III-13(f),
grsrcptsadmissn509,Receipts from admissions merchandise etc (509),990 Sch A_Pt III-2(f),
grsrcptsactivities509,Gross receipts from related activities (509),990 Sch A_Pt III-3(f),
txrevnuelevied509,Tax revenues levied (509),990 Sch A_Pt III-4(f),
srvcsval509,Services or facilities furnished by gov (509),990 Sch A_Pt III-5(f),
pubsuppsubtot509,Public support subtotal (509),990 Sch A_Pt III-6(f),
rcvdfrmdisqualsub509,Amounts from disqualified persons (509),990 Sch A_Pt III-7a(f),
exceeds1pct509,Amount support exceeds total (509),990 Sch A_Pt III-7b(f),
subtotpub509,Public support subtotal (509),990 Sch A_Pt III-7c(f),
pubsupplesub509,Public support (509),990 Sch A_Pt III-8(f),
samepubsuppsubtot509,Public support from line 6 (509),990 Sch A_Pt III-9(f),
EIN,Employer Identification Number,Form 990 Header,
subseccd,Subsection code,Form 990 Header,
tax_pd,Tax period,Form 990 Header,
efile,E-file indicator,n/a,
